actual,counts
0.0,11409
0.003,640
0.006,75
0.01,64
0.013,6864
0.016,15244
0.02,91
0.023,59
0.026,37
0.03,11031
0.033,6672
0.036,31
0.04,1275
0.043,1900
0.046,27011
0.05,2771
0.053,380
0.056,369
0.06,2624
0.063,7352
0.066,446
0.07,378
0.073,345
0.076,2995
0.08,2286
0.083,139
0.086,124
0.09,174
0.093,2532
0.096,514
0.1,97
0.103,86
0.106,465
0.11,1786
0.113,56
0.116,49
0.12,46
0.123,821
0.126,824
0.13,51
0.133,49
0.136,49
0.14,2995
0.143,688
0.146,47
0.15,24
0.153,833
0.156,4339
0.16,185
0.163,42
0.166,37
0.17,1408
0.173,1813
0.176,33
0.18,24
0.183,25
0.186,1138
0.19,383
0.193,20
0.196,25
0.2,98
0.203,868
0.206,55
0.21,22
0.213,18
0.216,331
0.22,510
0.223,22
0.226,12
0.23,19
0.233,502
0.236,220
0.24,15
0.243,16
0.246,14
0.25,735
0.253,11
0.256,8
0.26,16
0.263,267
0.266,555
0.27,18
0.273,16
0.276,19
0.28,1316
0.283,832
0.286,144
0.29,222
0.293,658
0.296,9934
0.3,1653
0.303,1116
0.306,1102
0.31,5165
0.313,13305
0.316,457
0.32,386
0.323,328
0.326,3349
0.33,2678
0.333,258
0.336,217
0.34,265
0.343,2777
0.346,685
0.35,183
0.353,156
0.356,643
0.36,2391
0.363,111
0.366,86
0.37,79
0.373,1022
0.376,1072
0.38,78
0.383,75
0.386,61
0.39,1457
0.393,372
0.396,55
0.4,51
0.403,248
0.406,1222
0.41,79
0.413,52
0.416,55
0.42,556
0.423,726
0.426,38
0.43,38
0.433,42
0.436,769
0.44,264
0.443,30
0.446,43
0.45,97
0.453,788
0.456,47
0.46,32
0.463,27
0.466,301
0.47,469
0.473,19
0.476,28
0.48,18
0.483,473
0.486,216
0.49,20
0.493,34
0.496,37
0.5,542
0.503,27
0.506,17
0.51,25
0.513,156
0.516,330
0.52,18
0.523,25
0.526,22
0.53,236
0.533,156
0.536,17
0.54,15
0.543,25
0.546,288
0.55,48
0.553,17
0.556,17
0.56,89
0.563,239
0.566,13
0.57,14
0.573,15
0.576,162
0.58,155
0.583,12
0.586,12
0.59,24
0.593,230
0.596,49
0.6,14
0.603,13
0.606,48
0.61,212
0.613,12
0.616,6
0.62,10
0.623,135
0.626,126
0.63,12
0.633,13
0.636,13
0.64,182
0.643,49
0.646,6
0.65,5
0.653,31
0.656,171
0.66,5
0.663,13
0.666,9
0.67,74
0.673,96
0.676,8
0.68,6
0.683,4
0.686,109
0.69,48
0.693,10
0.696,7
0.7,21
0.703,167
0.706,10
0.71,4
0.713,13
0.716,69
0.72,112
0.723,6
0.726,8
0.73,9
0.733,169
0.736,107
0.74,8
0.743,7
0.746,14
0.75,454
0.753,11
0.756,10
0.76,8
0.763,168
0.766,360
0.767,1
0.77,8
0.773,1
0.776,3
0.78,334
0.783,205
0.786,6
0.79,6
0.793,12
0.796,286
0.8,31
0.803,4
0.806,3
0.81,31
0.813,123
0.816,6
0.82,7
0.823,1
0.826,104
0.83,82
0.833,5
0.836,2
0.84,9
0.843,94
0.846,18
0.85,3
0.853,3
0.856,28
0.86,90
0.863,5
0.866,4
0.87,4
0.873,53
0.876,51
0.88,2
0.883,1
0.886,2
0.89,80
0.893,20
0.896,5
0.9,3
0.903,18
0.906,100
0.91,4
0.913,5
0.916,5
0.92,40
0.923,60
0.926,3
0.93,2
0.933,7
0.936,73
0.94,28
0.943,6
0.946,6
0.95,16
0.953,73
0.956,9
0.96,4
0.963,3
0.966,39
0.97,48
0.973,2
0.976,6
0.98,1
0.983,51
0.986,31
0.99,2
0.993,5
0.996,4
1.0,66
1.003,4
1.006,2
1.01,1
1.013,33
1.016,56
1.02,2
1.023,2
1.026,2
1.03,67
1.033,39
1.036,1
1.04,2
1.043,1
1.046,60
1.05,8
1.053,2
1.056,1
1.06,23
1.063,66
1.066,4
1.07,2
1.073,5
1.076,41
1.08,38
1.083,1
1.086,3
1.09,3
1.093,63
1.096,10
1.1,2
1.103,1
1.106,12
1.11,70
1.12,2
1.123,39
1.126,49
1.13,2
1.133,2
1.136,1
1.14,60
1.143,14
1.146,4
1.15,5
1.153,12
1.156,62
1.16,6
1.163,1
1.17,30
1.173,28
1.176,1
1.18,3
1.183,3
1.186,53
1.19,22
1.193,3
1.196,2
1.2,4
1.203,72
1.213,1
1.216,31
1.22,44
1.223,6
1.226,1
1.23,2
1.233,36
1.236,17
1.24,1
1.243,3
1.246,4
1.25,55
1.253,5
1.256,1
1.263,26
1.266,69
1.27,4
1.273,2
1.276,1
1.28,59
1.283,31
1.29,2
1.293,3
1.296,58
1.3,7
1.303,1
1.306,2
1.31,50
1.313,151
1.32,1
1.323,1
1.326,261
