compressed lengths,counts
56,1
59,1
60,1
61,2
62,3
63,2
64,3
65,5
66,3
67,3
68,5
69,5
70,1
71,2
72,3
73,7
74,11
75,8
76,6
77,22
78,21
79,23
80,45
81,36
82,34
83,55
84,48
85,90
86,260
87,925
88,2064
89,2440
90,2817
91,3281
92,2582
93,1611
94,1422
95,1333
96,2097
97,2399
98,2365
99,2239
100,1724
101,1090
102,813
103,425
104,79
105,23
106,13
107,19
108,16
109,13
110,9
111,10
112,75
113,256
114,417
115,175
116,14
117,12
118,7
119,8
120,11
121,14
122,15
123,15
124,18
125,12
126,18
127,20
128,18
129,17
130,15
131,14
132,9
133,5
134,12
135,11
136,16
137,21
138,28
139,25
140,23
141,39
142,31
143,47
144,12
145,16
146,8
147,7
148,3
149,5
150,5
151,2
152,7
153,2
154,8
155,16
156,10
157,7
158,9
159,11
160,9
161,11
162,10
163,6
164,7
165,1
166,6
167,6
168,5
169,3
170,6
171,2
173,4
174,1
175,2
176,2
178,3
179,4
180,6
181,6
182,10
183,4
184,1
185,2
186,5
187,4
188,1
189,5
190,1
191,3
192,7
193,8
194,7
195,10
196,12
197,7
198,14
199,16
200,13
201,6
202,29
203,64
204,149
205,218
206,340
207,533
208,528
209,250
210,46
211,6
212,32
213,27
214,89
215,607
216,2179
217,4653
218,6782
219,8356
220,8012
221,5858
222,2218
223,694
224,255
225,179
226,164
227,130
228,132
229,150
230,167
231,162
232,239
233,650
234,1555
235,2743
236,3192
237,2807
238,2170
239,1612
240,1096
241,658
242,279
243,145
244,103
245,102
246,145
247,332
248,869
249,2346
250,5400
251,9304
252,11410
253,10126
254,7413
255,4209
256,2597
257,1550
258,892
259,472
260,286
261,315
262,701
263,1565
264,2557
265,2751
266,2378
267,2132
268,2920
269,4729
270,7080
271,8421
272,8173
273,6266
274,4078
275,2620
276,1612
277,1085
278,634
279,283
280,109
281,39
282,26
283,9
284,10
285,5
286,6
287,14
288,8
289,9
290,18
291,14
292,24
293,25
294,17
295,6
296,3
297,5
298,2
299,5
301,1
302,2
304,1
305,6
306,22
307,44
308,99
309,101
310,91
311,69
312,48
313,42
314,38
315,63
316,65
317,50
318,40
319,32
320,16
321,8
322,8
323,5
324,5
325,4
326,5
327,1
328,2
331,1
333,1
334,1
335,1
336,1
337,1
338,2
339,2
340,1
341,2
342,2
345,1
351,1
356,1
359,1
361,1
362,1
364,2
366,1
367,1
372,1
374,1
376,1
377,1
378,1
383,1
386,1
387,3
388,4
389,4
390,3
391,5
392,16
393,12
394,23
395,20
396,13
397,10
398,8
399,4
400,3
401,2
402,3
403,2
404,2
405,2
406,3
407,8
408,5
409,3
410,3
411,10
412,10
413,3
414,7
415,9
416,9
417,15
418,3
419,10
420,9
421,11
422,8
423,12
424,7
425,14
426,14
427,9
428,19
429,16
430,12
431,14
432,16
433,21
434,9
435,19
436,18
437,21
438,18
439,12
440,19
441,14
442,20
443,15
444,23
445,12
446,12
447,16
448,21
449,21
450,22
451,18
452,19
453,21
454,18
455,9
456,13
457,11
458,11
459,14
460,14
461,8
462,9
463,12
464,11
465,12
466,8
467,7
468,7
469,4
470,8
471,3
472,4
473,7
474,6
475,4
476,2
477,2
478,3
479,2
482,1
483,1
489,1
490,1
493,1
497,1
508,1
509,1
510,2
511,2
512,6
513,9
514,26
515,41
516,58
517,72
518,78
519,82
520,95
521,85
522,60
523,44
524,27
525,20
526,10
527,16
528,9
529,6
532,1
534,1
541,1
557,1
569,1
714,1
752,1
1075,2
1076,3
1077,4
1078,1
1079,3
1080,4
1081,9
1082,11
1083,6
1084,15
1085,3
1086,8
1087,11
1088,11
1089,11
1090,7
1091,10
1092,4
1093,1
1094,1
1097,1
1099,1
1100,1
1106,1
