estimated,counts
1.57e-07,43
1.257e-06,10
0.0032831,19345
0.0032832,3
0.00328328,9
0.00328338,2
0.00328408,2
0.00328418,5
0.00328419,1
0.0032842,7
0.00328438,3
0.00328478,3
0.00328498,1
0.00328508,4
0.00328548,1
0.00328626,396
0.0032864,1137
0.00328686,1
0.00328708,5
0.00328818,1
0.00328912,2
0.0032897,2
0.0032919,2
0.00329592,1
0.0032985,1
0.0033227,1
0.0033337,1
0.0033348,1
0.0033488,2
0.00335057,1
0.00335419,1
0.00338282,4
0.00339944,1
0.00339967,1
0.00344758,1
0.00348366,2
0.00348466,1
0.00351996,1
0.00353179,1
0.0035581,2
0.00361398,1
0.00365182,2
0.0036856,1
0.0037092,3
0.00385259,1
0.00386143,1
0.00389964,3
0.00391751,1
0.00419201,5
0.00421898,2
0.00423491,1
0.00423834,78
0.00442331,1
0.00456887,1
0.00477451,1
0.00493285,1
0.00544919,1
0.00584555,5
0.00586282,1
0.00593871,1
0.00631711,1
0.00657038,9164
0.00657048,100
0.00657086,2
0.00657126,2
0.00657184,1
0.00657186,11
0.00657196,8
0.00657216,27
0.00657226,2
0.00657244,1
0.00657246,4
0.00657274,1
0.00657314,3
0.00657316,3
0.00657324,5
0.00657326,1
0.00657354,6
0.00657376,2
0.00657384,1
0.00657402,18331
0.00657412,24190
0.00657422,88
0.00657432,17894
0.00657434,2
0.00657436,107
0.00657442,18
0.00657444,1
0.00657452,3
0.00657464,1
0.00657476,3
0.00657482,6
0.00657492,13
0.00657502,2
0.00657522,1
0.00657542,2
0.00657544,1
0.00657552,10
0.00657554,5
0.00657574,2
0.00657592,2
0.00657594,311
0.00657604,3
0.00657634,1
0.00657662,5
0.00657664,2
0.00657702,1
0.00657712,2
0.00657722,13
0.00657732,4
0.00657752,1
0.00657774,2
0.00657862,5
0.00657872,1
0.00658052,757
0.00658314,1
0.00658962,3
0.00658972,1
0.00659072,1
0.00675963,1
0.00677308,2
0.00721152,1
0.00738189,2
0.0075001,1
0.00752586,2
0.00752978,1
0.00802764,1
0.00805869,1
0.00824552,1
0.00861304,2
0.00909714,6
0.00920862,2
0.00935379,8
0.00945042,2
0.00986042,1
0.00986082,1
0.00987748,1
0.00987888,1
0.00990301,1
0.00990361,2
0.00990371,3
0.00990671,1
0.00990745,1
0.00992148,1
0.00999977,1
0.0100354,3
0.0100608,1
0.0100621,9
0.0100945,1
0.0102014,1
0.0102584,4
0.0102946,3
0.010305,1
0.0103215,1
0.0104873,1
0.0105303,1
0.0105499,1
0.0106837,1
0.0107836,1
0.0107915,1
0.0108493,1
0.010916,1
0.0109271,2
0.0110645,2
0.0111187,1
0.0112023,1
0.0116929,1
0.0116933,1
0.0122883,2
0.0130279,1
0.0131484,1
0.0131504,5
0.0131513,1
0.0131514,1
0.0131651,3
0.0131921,2
0.0131922,4
0.0132375,10
0.0132376,3
0.0133214,1
0.0133509,3
0.0133513,1
0.0137927,2
0.0140311,1
0.0143833,2
0.0146444,21
0.0146464,1
0.0146484,3
0.014654,23
0.0146669,1
0.0155088,2
0.0171559,1
0.017929,1
0.0179317,2
0.0179331,55353
0.0179335,1
0.0179339,187
0.0179343,74
0.0179362,1
0.0179368,6
0.0179372,1
0.0179373,1
0.01794,1
0.017952,3
0.0180505,1
0.0181265,1
0.0181286,1
0.0182124,1
0.0182483,1
0.0183277,1
0.0186067,2
0.0190069,1
0.0190816,1
0.0190864,1
0.0190903,3
0.0191173,1
0.0193007,1196
0.0193764,7
0.0194489,1
0.0195739,1
0.0196372,2
0.0196772,1
0.0197937,1
0.0198604,1
0.0198644,1
0.0198651,1
0.0198654,2
0.0198698,1
0.0199114,1
0.0199891,1
0.0200044,1
0.0200217,1
0.0200435,1
0.0200575,6
0.0200654,1
0.0200724,1
0.0200752,1
0.0200799,1
0.0200921,11
0.0201921,1
0.0205411,6
0.0207829,12
0.0208463,2
0.0208776,1
0.0208832,1
0.020914,1
0.0209213,1
0.0209635,1
0.0210028,1
0.0210247,15
0.0212665,24
0.0214711,1
0.0215083,36
0.0217501,644
0.0218511,1
0.0218969,2
0.0219076,1
0.0219191,1
0.0219319,1
0.0219533,1
0.0219716,1
0.0219718,1
0.0219827,1
0.021998,1
0.021999,1
0.0220155,1
0.0222447,1
0.0226372,2
0.0227786,1
0.0227832,1
0.0227896,1
0.0227953,1
0.0227987,1
0.0228134,1
0.0228211,1
0.0228375,1
0.0228745,1
0.0229142,1
0.0229593,1
0.02296,2
0.0229606,1
0.0238353,1
0.0238812,1
0.0239111,1
0.0239248,1
0.0239296,1
0.0239298,1
0.0246827,1
0.0246916,1
0.024717,1
0.0247218,1
0.024738,1
0.0247436,1
0.0250079,2
0.0251694,2
0.0251833,2
0.0252657,1
0.0253401,1
0.025632,1
0.0256658,1
0.0256759,1
0.0256811,1
0.0256819,1
0.0256876,1
0.0256972,1
0.0258231,1
0.0260108,1
0.026054,2
0.026312,2
0.0264014,1
0.0264741,1
0.0265551,5
0.0266132,1
0.0266725,1
0.0267058,1
0.0267428,1
0.0267512,1
0.0267782,1
0.0267829,1
0.0268079,1
0.0268107,1
0.0275796,1
0.0275972,1
0.0276025,1
0.027641,1
0.027668,1
0.0276799,1
0.0276861,1
0.0277149,1
0.0277423,1
0.027744,1
0.0277468,1
0.0277632,1
0.0278723,3
0.0282603,1
0.028308,2
0.0285465,1
0.0285738,1
0.0285827,1
0.0285829,1
0.0285848,1
0.0285852,1
0.0286032,1
0.0286151,1
0.0286271,1
0.0286599,1
0.0286703,1
0.028674,1
0.0287374,1
0.0287396,1
0.0288235,3
0.0288609,1
0.0288765,1
0.0291028,1
0.0292986,2
0.0295216,1
0.0295392,1
0.0295644,1
0.0295703,1
0.0296699,6
0.0296722,1
0.0296856,1
0.0297077,1
0.0298749,1
0.0301154,1
0.0301157,1
0.0302404,2
0.0304747,1
0.0305079,1
0.0305123,1
0.0305159,1
0.0305318,1
0.0305385,1
0.030561,1
0.0305864,1
0.0305956,1
0.0306273,1
0.0306318,1
0.0306703,1
0.0308509,2
0.0308875,1
0.031275,1
0.0314422,1
0.0314567,1
0.0314951,1
0.0315356,1
0.0315904,1
0.0316368,1
0.0316486,1
0.0319992,1
0.0323963,1
0.0324377,1
0.0324485,1
0.0324887,1
0.0325521,1
0.0329723,3
0.0329965,3
0.033365,1
0.0334588,1
0.0334703,2
0.0334763,1
0.0334944,1
0.033525,1
0.0335572,1
0.0335676,1
0.03361,2
0.0343536,1
0.0343714,1
0.0343731,1
0.0343912,1
0.0344232,1
0.0344469,1
0.0344537,1
0.034495,1
0.0345255,1
0.0345358,1
0.0349809,2
0.0350004,2
0.0353578,1
0.0353584,1
0.0353885,1
0.0353943,1
0.0354563,1
0.0354723,1
0.0362712,1
0.0362887,1
0.0362972,1
0.0362982,1
0.037355,1
0.0381828,1
0.0381943,1
0.0381997,1
0.0382762,1
0.0383903,1
0.0389704,2
0.0392891,1
0.0393191,1
0.0395392,5
0.0395393,1
0.0397242,9
0.0401067,1
0.0401199,2
0.0401668,3
0.0401677,1
0.0401845,1
0.0402097,1
0.0402209,1
0.0402489,1
0.040257,1
0.0403024,1
0.0405047,4
0.0405946,1
0.040676,1
0.0407101,1
0.040917,1
0.0409271,1
0.0409495,3
0.0409635,1
0.0410813,1
0.0411538,1
0.0411613,1
0.041162,1
0.041167,1
0.0411885,1
0.0411912,1
0.0412474,14
0.0412496,1
0.0412625,1
0.0415618,1
0.0415738,1
0.0416537,1
0.042042,1
0.0420831,1
0.0420979,1
0.0421203,1
0.042123,1
0.0421527,1
0.0421687,1
0.0422018,1
0.0430766,1
0.043111,1
0.0431183,1
0.0431258,1
0.0440336,1
0.0440662,1
0.0441024,1
0.0441068,1
0.0441274,1
0.0441554,1
0.0441623,1
0.0450217,1
0.0450822,1
0.0450827,1
0.0451,1
0.0459029,1
0.0459261,1
0.0460498,1
0.0469136,1
0.0469378,1
0.0469826,1
0.0469916,1
0.0469921,1
0.0470222,1
0.0470778,1
0.0477611,1
0.0478982,1
0.047928,1
0.0479343,1
0.0479516,1
0.0479896,1
0.0488288,1
0.0489391,1
0.0492188,1
0.0494606,2
0.0499442,2
0.050186,4
0.0502197,6
0.0504278,5
0.0506696,5
0.0507534,1
0.0508095,1
0.0509114,20
0.050932,1
0.0509884,1
0.0511532,21
0.051395,30
0.0514994,2
0.0516368,49
0.0516993,1
0.0517925,1
0.0518786,94
0.05189,2
0.0521204,141
0.0525204,59900
0.0525233,1
0.0526399,1
0.0526452,1
0.052703,1
0.0527094,1
0.0527138,1
0.0527318,1
0.0527682,1
0.0533969,1
0.0534933,1
0.0536294,1
0.0536519,1
0.0536572,1
0.053658,1
0.0536801,1
0.0538047,1
0.0538285,4
0.0539818,1
0.0541536,1
0.0545804,1
0.0546469,1
0.0552493,1
0.0556624,1
0.0556838,1
0.0557084,1
0.0557114,1
0.0558373,2
0.0565504,1
0.0566516,1
0.056711,1
0.0581841,1
0.05907,1
0.0597094,2
0.0599335,1
0.0603567,1
0.0603599,1
0.0604209,1
0.0604551,1
0.0605335,1
0.0605747,1
0.0613428,1
0.0614127,1
0.0614427,1
0.0623873,1
0.0624088,1
0.0628817,1
0.06295,1
0.0634319,12
0.0634352,1
0.0643095,1
0.0644198,1
0.0652379,1
0.0653581,1
0.0653792,1
0.0662068,1
0.0662328,1
0.0671454,1
0.0672894,4
0.0672904,2
0.0673157,1
0.069093,1
0.0691669,1
0.0700345,1
0.0701611,1
0.0702044,1
0.0711384,1
0.071153,1
0.0711813,1
0.0721014,1
0.0730639,1
0.0748937,1
0.07578,1
0.0758365,1
0.0768055,1
0.0776316,1
0.077773,1
0.0777885,1
0.0778196,1
0.0779305,1
0.0794544,1
0.0798073,1
0.0807865,1
0.0808058,1
0.0816489,1
0.08355,1
0.0839858,1
0.0842708,1
0.0845617,1
0.085568,1
0.0865671,1
0.0874365,1
0.0881134,1
0.0884518,1
0.0887684,1
0.0889893,2
0.0921991,1
0.0923665,1
0.0931863,1
0.0937274,1
0.0951465,1
0.0951725,1
0.097172,1
0.0979781,1
0.0989671,1
0.0989699,1
0.100074,1
0.100986,1
0.103226,1
0.103227,1
0.103378,1
0.103453,1
0.10381,1
0.104776,1
0.104898,1
0.10684,1
0.107408,1
0.107735,1
0.108635,1
0.111251,1181
0.111617,1
0.113452,1
0.113531,1
0.113556,1
0.114367,1
0.114374,1
0.114538,1
0.116422,1
0.117394,1
0.118206,1
0.118269,1
0.119167,1
0.119309,1
0.121141,1
0.12127,1
0.122081,1
0.123153,1
0.126064,1
0.12695,1
0.126989,1
0.127012,1
