lengths,counts
20,1
24,1
25,4
26,5
27,7
28,2
29,1
30,4
31,5
32,9
33,3
34,4
35,3
36,8
37,7
38,13
39,10
40,24
41,20
42,32
43,30
44,35
45,36
46,46
47,53
48,38
49,55
50,66
51,5451
52,3919
53,5349
54,55
55,44
56,2322
57,3029
58,55
59,8525
60,57
61,39
62,2875
63,26
64,27
65,23
66,33
67,31
68,21
69,14
70,15
71,7
72,7
73,11
74,2
75,5
76,6
77,2
78,12
79,12
80,4
81,7
82,3
83,10
84,4
85,7
86,4
87,5
88,4
89,2
90,7
91,20
92,2
93,7
94,6
95,6
96,7
97,4
98,10
99,7
100,8
101,21
102,9
103,5
104,891
105,12
106,7
107,6
108,6
109,5
110,7
111,4
112,14
113,7
114,18
115,1
116,9
117,2
118,12
119,13
120,5
121,9
122,46
123,7
124,3
125,12
126,11
127,5
128,8
129,9
130,7
131,16
132,19
133,24
134,7
135,16
136,17
137,20
138,5
139,9
140,4
141,2
142,8
143,5
144,10
145,4
146,13
147,8
148,3
149,13
150,4
151,7
152,3
153,4
154,5
155,3
156,8
157,11
158,2
159,4
161,5
163,1
164,4
165,1
166,2
167,1
168,1
169,2
170,1
172,1
173,1
174,4
175,3
176,3
178,2
180,3
181,5
182,3
185,1
186,1
188,3
189,1
190,2
191,6
192,4
193,1
194,9
196,1
197,2
198,1
199,3
200,2
202,2
206,2
207,2
208,4
209,2
210,2
212,2
214,1
215,2
216,2
217,3
218,1
219,1
220,1
221,1
222,4
223,17
224,5
225,12
226,4
227,8
228,3
229,1
230,13
231,56
232,336
233,1712
234,5571
235,10509
236,8417
237,4946
238,6561
239,3892
240,27
241,19
242,28
243,27
244,44
245,30
246,201
247,90
248,4
249,5
250,4
251,5
252,2
254,1
255,11
256,1
257,21
258,2
259,1
263,3
265,3
266,1
267,4
268,3
269,5
271,2
272,2
274,5
276,1
278,3
279,1
280,2
282,2
283,5
284,5
285,9
286,23
287,45
288,19
289,15
290,44
291,109
292,272
293,300
294,257
295,658
296,3138
297,11993
298,31447
299,2408
300,5586
301,105
302,61
303,19
304,17
305,38
306,228
307,1261
308,6271
309,7726
310,864
311,115
312,227
313,66
314,90
315,176
316,167
317,49
318,25
319,21
320,53
321,61
322,37
323,20
324,18
325,36
326,46
327,20
328,38
329,139
330,326
331,448
332,326
333,254
334,723
335,3278
336,12883
337,33180
338,2649
339,5959
340,105
341,54
342,5
343,1
345,1
346,1
349,2
355,1
356,1
363,1
369,1
372,3
373,5
374,3
375,4
376,8
377,3
378,2
380,10
381,7
382,4
383,7
384,29
385,75
386,163
387,38
388,13
389,41
390,2
391,24
392,2
393,4
394,1
396,1
397,1
400,3
403,1
405,1
407,1
408,5
409,14
410,24
411,6
412,11
413,7
414,2
415,2
417,1
422,2
424,101
426,1
428,1
437,1
438,2
441,2
467,1
469,1
488,1
491,1
493,2
503,1
506,3
509,1
510,2
511,3
513,15
514,3
517,1
519,1
522,4
524,3
545,1
571,1
593,1
597,1
598,1
600,1
601,3
602,2
612,1
623,1
624,1
627,1
649,1
670,100
675,1
692,8
693,56
694,383
695,291
696,14
697,5
701,1
704,1
727,1
753,1
779,1
785,1
805,1
806,1
831,1
857,1
883,1
909,1
935,1
939,1
961,1
972,1
987,1
1013,1
1024,1
1032,1
1033,1
1039,1
1040,1
1065,1
1079,151
1080,90
1081,9
1088,151
1089,90
1090,9
1091,1
1095,151
1096,90
1097,9
1117,1
1143,1
1150,1
1169,1
1173,1
1174,2
1179,1
1180,2
1187,1
1195,1
1200,1
1215,1
1221,1
1229,1
1233,1
1234,1
1235,2
1241,1
1247,1
1262,1
1269,1
1273,1
1286,1
1299,1
1302,1
1325,1
1341,1
1351,1
1377,1
1403,1
1422,2
1429,1
1454,1
1455,1
1481,1
1507,1
1512,1
1532,1
1533,1
1534,1
1542,537
1553,1
1559,1
1585,1
1608,1
1611,1
1637,1
1663,1
1689,1
1710,1
1715,1
1741,1
1744,72
1767,1
1793,1
1819,1
1845,1
1846,23
1871,1
1897,1
1902,1
1923,1
1949,1
1975,1
2001,1
2027,1
2053,1
2079,1
2104,1
2105,1
2114,1
2131,1
2157,1
2173,2
