table,count
PhotoObjAll,310134
SpecPhotoAll,180959
fGetNearbyObjEq,122772
SpecObjAll,6901
SpecLineAll,6037
XCRedshift,5862
SpecLineIndex,5701
Photoz,5510
ELRedShift,5433
PhotoTag,5293
DBObjects,2087
Field,2024
Frame,1879
fDocFunctionParams,470
fDocColumns,296
DBViewCols,90
IndexMap,80
DataConstants,55
sysschobjs,48
fGetObjFromRect,38
sysdbreg,36
syscolpars,35
PlateX,31
fFootprintEq,20
RC3,9
RunQA,6
fGetNearestObjEq,4
DBColumns,4
Segment,3
QsoCatalogAll,3
First,3
Neighbors,3
mydb.dr5_fields,3
mydb.spec_all_dr5,3
SiteConstants,2
fGetNearestObjAllEq,2
sysscalartypes,2
QuasarCatalog,2
fGetNearbyObjAllEq,2
mydb.MyTable_4,2
MatchHead,2
mydb.brightgals,2
mydb.MyTable,2
mydb.hello,1
mydb.SDSS_DR7,1
mydb.spec_all_dr4_primary,1
mydb.SDSS_DR5,1
MyTableDR5try2,1
MyTableDR5try3,1
MYDB.lrg100_b,1
MyTableDR5try1,1
Match,1
ProfileDefs,1
mydb.DR5_zConf,1
mydb.galaxy,1
SDSSConstants,1
SiteDiagnostics,1
mydb.MyTableDR5try,1
mydb.MyTable_8,1
mydb.DR5_QSOs,1
StripeDefs,1
mydb.dr5_fields23,1
dbcol,1
mydb.galaxydr5r1821str09,1
MyTable2DR5try,1
