comp_exp_length,count
2048,1
2053,1
2056,1
2059,1
2062,3
2065,1
2071,1
2077,1
2078,1
751,1
49,3
51,15
52,3
54,3
55,1
56,7
57,3
58,5
59,7
60,2
2109,1
62,5
63,1
64,1
65,6
66,8
67,11
68,15
69,18
70,25
71,17
72,23
73,31
74,24
75,22
76,34
77,28
78,15
79,21
80,39
81,35
82,47
83,34
84,44
85,67
86,83
87,78
88,68
89,114
90,115
91,110
92,120
93,133
94,146
95,164
96,142
97,125
98,133
99,114
100,128
101,97
102,117
103,92
104,89
105,100
106,115
107,118
108,129
109,136
110,126
111,122
112,133
113,107
114,121
115,113
116,99
117,102
118,83
119,117
120,103
121,91
122,122
123,120
124,117
125,96
126,101
127,111
128,117
129,101
130,131
131,128
132,105
133,124
134,85
135,70
136,103
137,108
138,88
139,111
140,91
141,91
142,101
143,98
144,82
145,70
146,101
147,87
148,70
149,93
150,86
151,113
152,100
153,112
154,116
155,113
156,97
157,79
158,109
159,122
160,123
161,122
162,141
163,169
164,161
165,110
166,100
167,87
168,108
169,131
170,113
171,156
172,133
173,117
174,112
175,130
176,118
177,129
178,130
179,125
180,104
181,102
182,67
183,81
184,60
185,100
186,74
187,79
188,69
189,68
190,65
191,57
192,70
193,54
194,50
195,64
196,44
197,50
198,43
199,53
200,37
201,34
202,48
203,40
204,25
205,44
206,43
207,33
208,47
209,28
210,42
211,30
212,42
213,35
214,31
215,53
216,51
217,54
218,38
219,49
220,47
221,69
222,55
223,59
224,52
225,61
226,49
227,67
228,32
229,43
230,50
231,50
232,41
233,58
234,41
235,49
236,37
237,27
238,52
239,37
240,42
241,40
242,52
243,47
244,47
245,44
246,41
247,33
248,39
249,43
250,42
251,46
252,31
253,40
254,36
255,34
256,38
257,46
258,41
259,39
260,41
261,34
262,29
263,41
264,39
265,40
266,35
267,33
268,30
269,36
270,34
271,32
272,24
273,25
274,32
275,44
276,40
277,38
278,34
279,32
280,40
281,45
282,20
283,37
284,36
285,40
286,39
287,27
288,37
289,31
290,25
291,34
292,30
293,23
294,26
295,26
296,24
297,21
298,38
299,34
300,28
301,22
302,20
303,21
304,22
305,29
306,32
307,23
308,29
309,44
310,26
311,11
312,19
313,18
314,23
315,22
316,23
317,16
318,12
319,11
320,10
321,13
322,17
323,13
324,18
325,22
326,23
327,10
328,20
329,18
330,19
331,27
332,18
333,10
334,16
335,7
336,13
337,14
338,15
339,13
340,14
341,10
342,6
343,7
344,12
345,8
346,7
347,5
348,17
349,9
350,15
351,11
352,10
353,12
354,15
355,7
356,12
357,17
358,7
359,14
360,10
361,23
362,8
363,12
364,14
365,8
366,9
367,10
368,12
369,15
370,17
371,19
372,13
373,20
374,12
375,17
376,11
377,8
378,17
379,17
380,15
381,18
382,15
383,13
384,17
385,15
386,7
387,13
388,9
389,5
390,5
391,10
392,5
393,4
394,8
395,5
396,9
397,4
398,8
399,7
400,6
401,7
402,2
403,4
404,7
405,8
406,12
407,5
408,9
409,10
410,7
411,7
412,9
413,5
414,10
415,7
416,4
417,1
418,3
419,7
420,6
421,8
422,7
423,4
424,3
425,5
426,5
427,3
428,2
429,3
430,4
431,12
432,4
433,4
434,6
435,8
436,3
437,3
438,6
439,4
440,4
441,7
442,9
443,4
444,8
445,2
446,2
447,5
448,5
449,6
450,3
451,9
452,2
453,4
454,4
455,1
456,6
457,8
458,4
459,4
460,4
461,1
462,3
463,3
464,4
465,1
467,7
468,5
469,3
470,1
471,7
472,2
473,5
474,5
475,4
