comp_length,count
2709,1
1982,1
915,1
896,1
834,1
831,1
829,2
824,2
819,1
818,1
813,1
749,1
748,1
745,2
744,1
739,1
737,1
720,1
718,1
717,1
713,3
707,1
700,1
692,1
687,1
686,1
680,1
677,1
670,1
665,1
662,1
642,2
639,1
636,1
635,1
634,1
630,1
620,1
618,1
616,1
615,1
614,1
613,2
611,1
609,1
608,1
605,1
599,1
598,1
597,1
588,1
587,2
586,2
585,4
583,1
580,1
579,1
577,1
576,1
575,2
574,1
573,3
572,3
571,1
570,2
568,1
567,4
566,2
565,1
564,1
562,2
561,1
560,2
559,1
558,2
556,1
554,1
551,1
546,2
545,1
542,1
537,1
536,1
535,1
533,1
529,3
528,4
527,1
526,2
525,3
523,1
522,2
521,1
520,1
519,2
518,2
517,2
515,3
514,2
513,2
512,1
511,1
508,3
507,1
506,2
503,2
501,1
500,1
499,1
497,1
496,1
494,1
493,1
492,2
489,1
488,1
486,3
485,1
484,1
483,2
482,1
481,1
479,1
478,1
476,1
474,2
472,1
471,1
470,1
469,2
467,2
465,1
464,2
463,1
462,3
460,1
459,1
453,1
452,2
451,2
447,1
444,1
442,1
440,2
439,2
438,2
437,3
436,2
435,2
433,1
431,2
430,1
429,5
428,1
427,2
426,2
425,1
424,1
423,1
421,1
418,1
417,1
416,3
415,4
414,2
413,2
411,1
409,2
406,2
405,2
404,1
403,1
402,5
400,2
399,5
398,2
397,4
396,2
395,2
394,1
393,4
392,1
391,4
390,3
388,1
387,1
386,3
385,5
384,5
383,1
382,3
381,3
380,1
379,6
378,1
377,2
375,10
374,6
373,4
372,4
371,3
370,11
369,5
368,7
367,6
366,9
365,5
364,12
363,5
362,2
361,7
360,3
359,4
358,6
357,6
356,5
355,2
354,9
353,9
352,8
351,10
350,8
349,3
348,2
347,5
346,6
345,4
344,5
343,7
342,2
341,8
340,9
339,2
338,7
337,5
336,2
335,5
334,7
333,7
332,3
331,9
330,9
329,9
328,5
327,5
326,8
325,6
324,7
323,13
322,8
321,3
320,4
319,7
318,7
317,11
316,16
315,15
314,14
313,14
312,14
311,9
310,10
309,6
308,17
307,14
306,14
305,9
304,13
303,13
302,13
301,10
300,12
299,9
298,9
297,15
296,23
295,12
294,5
293,9
292,19
291,25
290,18
289,27
288,14
287,10
286,21
285,16
284,23
283,19
282,12
281,6
280,15
279,16
278,25
277,22
276,28
275,22
274,19
273,15
272,18
271,13
270,15
269,20
268,14
267,16
266,18
265,20
264,18
263,27
262,18
261,9
260,23
259,16
258,22
257,4
256,17
255,12
254,17
253,14
252,36
251,22
250,29
249,21
248,30
247,29
246,23
245,29
244,37
243,30
242,36
241,42
240,24
239,34
238,37
237,31
236,25
235,30
234,37
233,32
232,37
231,36
230,39
229,49
228,38
227,40
226,28
225,47
224,36
223,32
222,33
221,40
220,40
219,63
218,31
217,44
216,48
215,43
214,43
213,43
212,44
211,33
210,31
209,39
208,38
207,26
206,35
205,49
204,39
203,54
202,50
201,45
200,60
199,71
198,56
197,63
196,89
195,71
194,65
193,58
192,77
191,63
190,74
189,91
188,97
187,84
186,102
185,119
184,79
183,95
182,82
181,126
180,116
179,128
178,114
177,109
176,131
175,120
174,100
173,114
172,117
171,148
170,115
169,119
168,103
167,81
166,81
165,113
164,128
163,140
162,114
161,108
160,116
159,101
158,121
157,110
156,112
155,111
154,111
153,120
152,92
151,142
150,138
149,133
148,150
147,138
146,130
145,140
144,136
143,141
142,135
141,139
140,151
139,176
138,163
137,171
136,168
135,136
134,131
133,170
132,149
131,187
130,151
129,150
128,170
127,154
126,182
125,145
124,173
123,173
122,162
121,154
120,145
119,165
118,143
117,147
116,156
115,188
114,179
113,165
112,177
111,159
110,168
109,176
108,165
107,137
106,151
105,143
104,110
103,125
102,143
101,120
100,145
99,142
98,156
97,143
96,162
95,184
94,167
93,157
92,127
91,126
90,128
89,138
88,80
87,86
86,101
85,74
84,55
83,48
82,54
81,36
80,44
79,25
78,15
77,32
76,34
75,22
74,25
73,31
72,23
71,17
70,23
69,18
68,15
67,11
66,8
65,6
64,1
63,1
62,5
61,7
60,2
59,7
58,5
57,3
56,7
55,1
54,3
52,3
51,15
49,3
