compressed_expanded_length,# of queries
2048,1
2053,1
2056,1
2059,1
2062,3
2065,1
2071,1
2077,1
2078,1
49,3
691,1
52,3
54,3
55,1
56,7
57,3
58,5
59,7
60,2
2109,1
62,5
63,1
64,1
65,6
66,8
67,11
68,15
69,18
70,25
71,17
72,23
73,31
74,24
75,22
76,34
77,28
78,15
79,21
80,39
81,35
82,47
83,34
84,44
85,67
86,83
87,78
88,68
89,114
90,115
91,110
92,120
93,133
94,145
95,164
96,146
97,126
98,133
99,114
100,128
101,98
102,117
103,92
104,88
105,100
106,115
107,115
108,129
109,136
110,126
111,124
112,133
113,107
114,121
115,113
116,99
117,101
118,85
119,119
120,104
121,92
122,123
123,120
124,118
125,97
126,99
127,113
128,118
129,102
130,141
131,130
132,107
133,125
134,84
135,83
136,106
137,106
138,88
139,112
140,92
141,86
142,100
143,89
144,80
145,70
146,104
147,95
148,74
149,92
150,90
151,114
152,102
153,110
154,119
155,114
156,99
157,75
158,106
159,121
160,126
161,131
162,153
163,192
164,177
165,128
166,115
167,102
168,117
169,131
170,114
171,157
172,128
173,118
174,109
175,122
176,114
177,117
178,108
179,114
180,99
181,97
182,65
183,80
184,59
185,104
186,73
187,80
188,74
189,70
190,60
191,62
192,66
193,49
194,53
195,63
196,42
197,52
198,44
199,48
200,39
201,38
202,44
203,37
204,26
205,43
206,42
207,34
208,50
209,29
210,40
211,29
212,43
213,36
214,32
215,51
216,53
217,54
218,41
219,54
220,50
221,67
222,54
223,66
224,54
225,72
226,57
227,78
228,44
229,49
230,57
231,52
232,47
233,64
234,49
235,52
236,42
237,34
238,49
239,37
240,39
241,42
242,58
243,51
244,54
245,50
246,49
247,33
248,45
249,46
250,47
251,42
252,30
253,42
254,36
255,38
256,41
257,49
258,38
259,39
260,45
261,32
262,34
263,44
264,37
265,50
266,46
267,30
268,35
269,42
270,37
271,33
272,23
273,25
274,35
275,43
276,43
277,36
278,44
279,33
280,39
281,44
282,22
283,36
284,36
285,41
286,36
287,25
288,35
289,31
290,26
291,33
292,39
293,22
294,28
295,24
296,24
297,22
298,34
299,27
300,27
301,23
302,20
303,15
304,27
305,31
306,37
307,25
308,35
309,42
310,28
311,11
312,21
313,18
314,27
315,26
316,28
317,15
318,15
319,16
320,13
321,13
322,20
323,12
324,20
325,24
326,26
327,13
328,23
329,13
330,17
331,27
332,17
333,9
334,10
335,7
336,13
337,15
338,14
339,11
340,13
341,9
342,8
343,10
344,11
345,8
346,6
347,6
348,18
349,11
350,20
351,16
352,11
353,10
354,16
355,4
356,11
357,10
358,7
359,10
360,8
361,19
362,7
363,5
364,11
365,7
366,6
367,5
368,12
369,9
370,7
371,6
372,10
373,12
374,10
375,10
376,5
377,5
378,11
379,12
380,11
381,16
382,13
383,12
384,13
385,17
386,5
387,11
388,6
389,4
390,2
391,9
392,5
393,3
394,8
395,1
396,8
397,3
398,9
399,8
400,4
401,3
402,3
403,4
404,3
405,6
406,9
407,7
408,5
409,7
410,5
411,3
412,2
413,3
414,5
415,5
416,7
417,1
418,4
419,6
420,4
421,5
422,4
423,5
424,3
425,6
426,3
427,5
428,3
429,2
430,4
431,8
432,2
433,3
434,2
435,3
436,3
437,2
438,2
439,6
440,5
441,5
442,8
443,3
444,6
445,1
446,2
447,4
448,8
449,4
450,4
451,8
452,3
453,3
454,5
455,4
456,5
457,8
458,3
459,3
460,7
461,1
462,4
463,2
464,6
465,3
467,7
468,3
469,3
471,9
472,3
473,4
474,8
475,5
476,4
