exp_ops,count
1477,2
1476,1
1475,31
1033,12
1032,2
753,1
752,5
751,5
750,11
749,4
748,10
747,2
746,1
740,4
738,78
737,20
585,3
565,3
564,2
561,2
559,5
543,1
519,3
518,10
517,74
516,7
508,1
506,2
489,2
375,1
361,2
347,2
346,2
345,2
344,2
343,2
316,4
314,1
313,1
312,4
299,1
293,2
291,2
287,2
251,3
250,1
249,8
239,3
205,12
204,2
201,12
200,2
199,4
198,7
197,9
196,22
195,22
194,20
193,24
192,14
191,21
190,7
189,6
188,4
187,3
174,1
161,3
157,3
156,2
155,3
154,8
153,2
150,2
149,9
148,3
145,2
142,2
140,1
137,1
117,1
103,3
100,9
99,4
98,2
97,3
96,2
94,2
92,1
85,6
83,2
79,2
74,7
73,1
70,9
69,9
67,2
64,3
61,4
60,1
59,9
58,3
55,5
54,1
53,2
51,22
50,2
49,5
48,1
46,3
45,1
44,5
41,1
40,1
39,9
38,3
37,15
36,11
35,8
34,4
33,2
32,15
31,16
30,13
29,12
28,38
27,23
26,49
25,25
24,36
23,40
22,61
21,51
20,49
19,53
18,73
17,53
16,67
15,58
14,158
13,141
12,139
11,229
10,221
9,399
8,298
7,548
6,556
5,756
4,1510
3,3774
2,1431
1,6688
