exp_physical_ops,count
1,6948
2,1499
3,3886
4,1552
5,788
6,585
7,571
8,307
9,410
10,227
11,233
12,144
13,147
14,166
15,64
16,68
17,55
18,89
19,57
20,50
21,52
22,62
23,40
24,36
25,26
26,52
27,23
28,38
29,12
30,13
31,17
32,15
33,2
34,4
35,8
36,12
37,15
38,3
39,11
40,1
41,1
44,5
45,1
46,3
48,1
49,5
50,2
51,22
53,2
54,1
55,5
58,4
59,12
60,1
61,4
64,3
67,2
69,9
70,9
73,1
74,9
79,2
83,2
85,7
92,1
94,2
96,2
97,3
98,2
99,4
100,9
103,3
117,1
137,1
140,1
142,2
145,2
148,3
149,10
150,2
153,2
154,8
155,3
156,2
157,3
161,3
174,1
187,3
188,4
189,6
190,7
191,21
192,14
193,25
194,20
195,23
196,22
197,9
198,7
199,4
200,2
201,12
204,2
205,12
239,3
249,8
250,1
251,3
287,2
291,2
293,2
299,1
312,4
313,1
314,1
316,4
343,2
344,2
345,2
346,2
347,2
361,2
375,1
489,2
506,2
508,1
516,7
517,78
518,10
519,3
543,1
559,5
561,2
564,2
565,4
585,3
737,20
738,85
740,4
746,1
747,2
748,12
749,5
750,11
751,5
752,5
753,1
1032,2
1033,12
1475,31
1476,1
1477,2
