exp_str_ops,count
0,3
1,23
2,6425
3,531
4,4290
5,513
6,2111
7,452
8,975
9,336
10,445
11,130
12,320
13,161
14,165
15,165
16,153
17,89
18,38
19,36
20,44
21,66
22,70
23,34
24,46
25,14
26,45
27,9
28,34
29,19
30,5
31,1
32,12
33,26
34,7
35,9
36,11
37,11
38,18
39,2
40,20
41,11
42,5
43,1
44,7
46,1
48,7
50,9
51,5
52,4
53,10
54,4
55,1
56,12
57,3
58,15
59,1
60,1
61,14
62,2
63,1
64,3
68,1
1036,11
76,4
78,8
1037,1
80,2
84,1
1038,4
88,3
1039,2
96,1
97,1
100,7
102,7
1041,1
104,12
106,2
103,1
108,1
110,3
124,1
132,1
140,2
1040,2
192,2
198,1
200,5
210,2
218,2
220,1
754,7
756,1
758,2
760,1
764,5
765,2
768,1
773,1
784,1
800,1
318,1
1034,8
1030,1
372,1
376,4
377,1
378,1
384,7
388,1
392,1
1472,1
1476,9
1478,2
1479,14
1480,2
1481,2
253,1
