expanded_length,# of queries
8199,1
9,3
10,14
11,1
15,2
16,5
18,6
19,2
20,1
21,1
22,5
23,5
24,6
25,4
26,11
27,7
29,7
30,7
31,8
32800,1
33,20
34,22
35,16
36,23
37,22
38,23
39,13
40,22
41,18
42,24
43,29
44,29
45,29
46,28
47,45
48,60
49,60
50,61
51,77
52,64
53,80
54,96
55,79
56,109
57,93
58,93
59,118
60,144
61,105
62,104
63,101
64,80
65,130
66,132
67,108
68,108
69,127
70,101
71,125
72,112
73,98
74,97
75,97
76,91
77,69
78,91
79,101
80,168
81,84
82,72
83,99
84,76
85,65
86,84
87,84
88,109
89,99
90,97
91,88
92,85
93,96
94,70
95,75
96,90
97,70
98,68
99,69
100,68
101,67
102,54
103,95
104,79
105,112
106,83
107,58
108,70
109,49
110,69
111,67
112,47
113,75
114,50
115,57
116,67
117,46
118,63
119,49
120,46
121,56
122,62
123,59
124,71
125,60
126,59
127,72
128,47
129,67
130,72
131,65
132,59
133,45
134,56
135,64
136,72
137,69
138,51
139,65
140,68
141,67
142,64
143,79
144,94
145,98
146,76
147,134
148,96
149,80
150,121
151,109
152,124
153,120
154,111
155,57
156,78
157,72
158,70
159,72
160,79
161,79
162,91
163,47
164,86
165,34
166,45
167,46
168,44
169,41
170,46
171,39
172,36
173,38
174,68
175,50
176,38
177,50
178,46
179,58
180,37
181,36
182,30
183,59
184,51
185,26
186,34
187,101
188,42
189,49
190,33
191,47
192,31
193,27
194,41
195,38
196,31
197,36
198,16
199,47
200,28
201,34
202,62
203,44
204,31
205,79
206,50
207,21
208,37
209,58
210,44
211,33
212,37
213,32
214,36
215,32
216,55
217,27
218,33
219,26
220,27
221,21
222,20
223,22
224,31
225,27
226,31
227,21
228,31
229,17
230,21
231,25
232,26
233,19
234,35
235,31
236,37
237,38
238,19
239,33
240,16
241,26
242,25
243,24
244,15
245,33
246,18
247,33
248,27
249,35
250,27
251,17
252,21
253,11
254,20
255,17
256,15
257,24
258,17
259,11
260,14
261,31
262,19
263,15
264,26
265,17
266,21
267,19
268,23
269,14
270,17
271,12
272,13
273,21
274,15
275,24
276,21
277,21
278,19
279,18
280,21
281,22
282,24
283,25
284,19
285,17
286,20
287,19
288,11
289,13
290,21
291,18
292,15
293,19
294,10
295,21
296,20
297,23
298,22
299,42
300,33
301,28
302,28
303,12
304,15
305,19
306,19
307,23
308,16
309,18
310,18
311,22
312,9
313,17
314,19
315,20
316,23
317,34
318,28
319,17
320,12
321,10
322,14
323,14
324,19
325,24
326,19
327,7
328,16
329,11
330,19
331,10
332,18
333,14
334,14
335,18
336,19
337,18
338,13
339,17
340,15
341,19
342,14
343,13
344,18
345,15
346,25
347,17
348,12
349,9
350,9
351,10
352,13
353,13
354,10
355,9
356,10
357,14
358,13
359,16
360,15
361,16
362,21
363,25
364,19
365,15
366,11
367,22
368,16
369,12
370,9
371,18
372,13
373,15
374,12
375,21
376,15
377,10
378,11
379,12
380,11
381,20
382,15
383,12
384,14
385,9
386,6
387,7
388,13
389,6
390,5
391,11
392,13
393,14
394,11
395,12
396,8
397,11
398,15
399,9
400,7
401,9
402,12
403,11
404,14
405,15
406,23
407,18
408,15
409,10
410,4
411,10
412,7
413,10
414,6
415,4
416,11
417,4
418,10
419,10
420,12
421,15
422,10
423,20
424,5
425,6
426,7
427,6
428,7
429,4
430,9
431,9
432,10
433,6
434,13
435,10
436,6
437,7
438,2
439,7
440,12
441,6
442,6
443,5
444,9
445,9
446,12
447,3
448,10
449,12
450,1
451,6
452,7
453,11
454,5
455,4
456,7
457,7
458,4
459,5
460,4
461,7
462,6
463,6
464,2
465,5
466,18
467,7
468,22
469,8
470,11
471,10
472,4
473,2
474,10
475,10
