expanded_str_ops,# of queries
0,3
1,23
2,6425
3,531
4,4527
5,703
6,2238
7,493
8,769
9,295
10,404
11,124
12,303
13,188
14,158
15,64
16,129
17,65
18,52
19,23
20,54
21,55
22,62
23,15
24,20
25,20
26,20
27,3
28,25
29,7
30,7
31,1
32,8
33,10
34,10
35,5
36,11
37,5
38,20
39,5
40,7
41,2
42,2
44,6
46,2
48,7
50,8
51,5
52,3
53,10
54,5
56,12
57,3
58,11
59,1
60,1
61,13
62,2
63,1
64,3
68,1
1036,11
76,4
78,10
1037,1
80,3
84,1
1038,4
88,3
1039,2
96,1
1040,2
100,10
101,1
102,13
1041,1
104,8
106,2
108,1
110,3
124,1
140,2
192,2
210,2
1030,1
754,7
756,1
758,2
760,1
764,6
765,2
766,1
768,1
772,1
312,1
1034,8
372,1
376,4
377,1
378,1
384,7
388,2
1472,1
1476,9
1478,2
1479,14
1480,2
1481,2
253,1
