keyword,count
'location head',1
'insert into ecpathway (ecnumber, pathwayid, pathwayname) values (''',3
right join,11
'<a href="https://sqlsharedependencies.cloudapp.net/?table=',11
month,16
not,2
'company',2
499,2
go,98
'<script>alert("this is not great");</script>ok',1
to,2
'%*',1
'isbn',1
25,17
group,2369
$,1
parameters,13
23,1
(,94
except,14
day,20
0,10
'00:00:55',1
location,3
<,18
###,2
'inproceedings',1
do,2
cube,1
'female',1
'dept',1
timestamp,47
'group',1
alias,21
'insert into ecnumberpdbidgenus (ecnumber, pdbid, genus, species, genustaxid, speciestaxid) values (''',6
'ph',1
'emp',1
'a',5
'image #',2
unique,2
\,2
desc,92
insert,9
like,36
'depth (ft)',1
'date and time',1
'q',4
'country code',3
mode,6
'update expressionglycerol set xformresultid= ',1
view,3
'male',1
domain,1
set,16
numeric,1
'country',2
relative,3
'00:02:00',2
result,2
year,52
2.1,1
#,23
01,1
left outer join,108
',2
+,96
'species',2
4,13
/,56
3,10
'na',2
'time',2
intersect,13
between,15
table_name,1
'update construct set ntseq=''',1
'volume',1
'fridayharboroceanographers@gmail.com',1
'scott veirs',1
'journal',1
state,1
asc,14
'salinity_psu',1
rows,1
'column',2
20,20
100,32
'number',1
by,4016
_,2
'warm or cold',3
on,3053
search,1
'insert into ecnumberfeature (featureid, ecnumber) values (''',1
'c',1
of,5
'insert into ecnumberfeature (featureid, ecnumber, ecsource,   ecsourceid) values (',1
30,7
'temperature',1
'insert into ecnumberpdbidgenus (ecnumber,pdbid,genus) values (''',1
distinct,624
length,17
'book',1
4.3,1
'insert into ecnumber (ecnumber, enzymename) values (''',3
or,53
first,2
>=,1
'column 2',1
into,9
float,1
'date_and_time',1
'res2_sex-age',1
'chlorophyll (mg/l)',1
'insert into ecpathway (ecnumber,pathwayid,pathwayname)    values (''',1
names,4
66,1
owner,15
inner join,437
next,1
inner   join,7
'%,%',1
select,22740
",3
from,22688
'latitude''longitude',1
source,23
union,609
0.01,2
'10080_txt_crude',1
long,11
.,62
0.1,3
180,9
2,29
'insert into pathwaygenuspdb (pathwayid,genus,enzymesinpdb) values    (''',2
type,1
start,190
500,8
>,55
'fuctional category',1
0.5,1
full join,30
'not hi',1
'false',1
'insert into ecnumberfeature (featureid, ecnumber, ecsource   ecsourceid) values (',1
last,5
with,138
^,1
count,630
10,43
'17035_txt_earn',1
join,1198
temp,17
left join,1145
'editor',1
reads,18
cast,26
values,13
sum,50
declare,10
delete,9
and,377
047,1
@,4
int,3
'depth',1
'00:00:30',3
'1964',1
'gender',2
'',5
full outer join,83
as,941
bigint,3
right,2
at,1
'hi',1
'10000_txt_earn',1
null,1
trailing,2
'00',1
'value 1',4
11,3
avg,240
%,2
'direction',1
min,7
),107
1965,1
-,3
cross,8
40,1
1,78
cross join,12
5,22
'booktitle',1
'insert into ecnumberpdbidgenus (ecnumber,pdbid,genus,species,genustaxid,speciestaxid) values (''',5
=,150
'00000',24
'sara',1
'article',1
max,8
left outer   join,1
update,8
'dbo',2
'publisher',1
date,149
end,9
'pdb_ids',1
data,47
right outer join,37
'res3_sex-age-bw',1
<>,2
'update construct set ntseq = ''',1
'<a href=\"https://sqlsharedependencies.cloudapp.net/?table=',1
'image#',4
'res1_sex',1
'ubc',1
order,1647
1964,6
'month',1
'purpose',1
1000,1
having,82
50,5
