physical_ops,count
1477,1
1475,1
752,1
751,2
750,1
749,1
748,1
747,1
744,1
740,2
738,59
737,12
736,1
585,1
565,1
559,4
557,12
556,8
517,29
516,9
515,2
506,1
489,1
373,1
372,5
360,1
346,1
345,1
343,1
342,1
316,1
313,1
312,1
293,1
291,1
249,3
204,1
201,4
200,1
198,6
197,2
196,3
195,6
194,16
193,10
192,7
191,18
190,12
189,13
188,4
187,4
161,2
157,1
156,1
154,1
152,1
150,1
149,2
148,1
145,1
143,3
142,4
140,1
137,1
133,1
117,1
104,1
100,2
96,5
94,1
83,1
79,1
74,2
69,15
68,3
67,1
64,3
59,1
58,3
57,6
54,1
53,2
50,1
49,3
48,6
44,3
42,1
41,1
40,1
39,7
38,5
37,1
36,7
35,4
33,5
32,11
31,17
30,6
29,4
28,16
27,8
26,34
25,23
24,11
23,12
22,5
21,33
20,27
19,35
18,35
17,33
16,40
15,50
14,52
13,66
12,82
11,120
10,151
9,185
8,128
7,276
6,323
5,517
4,1174
3,3060
2,2454
1,6458
0,2509
