time_taken,count
0,7932
13,288
16,566
30,610
33,393
46,524
50,29
60,70
63,208
76,116
80,93
93,127
96,16
106,36
110,92
123,59
126,51
140,55
143,10
153,3
156,57
170,17
173,24
186,37
190,13
200,4
203,44
216,23
220,20
233,23
236,9
246,1
250,24
263,11
266,10
280,19
283,14
296,24
300,2
310,6
313,13
326,5
330,8
343,14
346,2
356,3
360,13
373,9
376,13
390,10
393,1
403,2
406,9
420,8
423,5
436,7
440,5
450,1
453,8
466,6
470,7
483,14
486,3
500,9
513,4
516,9
530,12
533,1
546,13
560,3
563,7
576,5
580,4
593,10
596,1
610,6
623,6
626,2
640,7
643,3
656,5
670,6
673,6
686,7
690,2
703,12
716,5
720,5
733,13
736,3
750,4
763,1
766,9
780,3
783,2
796,2
800,1
810,3
813,6
826,6
830,3
843,1
846,1
856,1
860,4
873,2
876,1
890,2
906,6
920,5
936,9
953,6
966,1
970,4
983,4
986,1
1000,6
1013,2
1016,5
1030,2
1033,3
1046,3
1060,1
1063,2
1093,4
1106,2
1110,2
1123,3
1126,1
1140,2
1156,4
1170,2
1173,2
1186,6
1190,1
1203,1
1216,1
1220,1
1233,2
1246,1
1250,3
1263,2
1266,1
1280,4
1283,1
1296,4
1310,2
1326,3
1330,2
1343,2
1373,3
1376,1
1390,1
1403,1
1406,3
1420,1
1453,1
1466,4
1470,3
1483,2
1486,1
1500,3
1516,2
1530,3
1546,7
1560,2
1563,2
1576,1
1580,1
1593,7
1606,2
1610,4
1623,5
1626,1
1640,5
1643,1
1653,1
1656,1
1670,1
1673,2
1686,2
1690,1
1700,1
1703,3
1716,1
1720,3
1733,1
1750,2
1780,1
1796,1
1810,1
1813,1
1826,2
1830,1
1843,5
1846,1
1856,1
1873,1
1890,2
1906,2
1920,2
1940,1
1953,1
1966,1
1970,2
1983,1
2000,1
2013,1
2030,2
2060,1
2076,2
2093,2
2096,1
2123,1
2126,1
2140,1
2156,2
2170,1
2186,2
2220,3
2233,2
2236,2
2250,6
2266,2
2296,4
2313,2
2326,1
2346,1
2360,1
2373,1
2376,1
2406,2
2423,2
2436,2
2440,1
2450,1
2453,1
2513,1
2546,1
2576,2
2593,1
2610,1
2640,1
2653,1
2656,2
2670,2
2673,1
2700,1
2703,1
2733,1
2750,2
2766,1
2780,2
2796,2
2843,2
2846,1
2856,1
2873,1
2876,1
2906,1
2953,2
2983,1
3030,1
3033,1
3046,1
3093,1
3106,1
3110,1
3123,1
3126,1
3156,2
3170,1
3203,2
3246,1
3263,2
3266,1
3280,1
3310,1
3330,1
3376,1
3453,2
3466,2
3500,1
3516,1
3530,1
3533,1
3546,1
3560,1
3563,2
3580,3
3593,6
3610,3
3623,1
3640,1
3643,1
3653,1
3656,2
3670,2
3686,3
3703,3
3720,1
3750,3
3763,1
3796,3
3826,3
3843,2
3860,2
3873,1
3876,3
3890,5
3923,2
3936,2
3953,1
3970,1
3983,2
4000,1
4046,1
4063,1
4076,1
4093,1
4106,1
4110,2
4123,2
4143,1
4156,2
4170,1
4173,1
4186,1
4203,1
4216,2
4233,3
4246,1
4266,2
4280,1
4283,1
4296,1
4313,1
4343,4
4373,1
4403,1
4406,1
4420,3
4453,1
4470,1
4500,1
4516,1
4593,4
4653,2
4670,2
4686,1
4716,1
4733,1
4736,1
4746,1
4750,1
4763,1
4766,1
4780,1
4810,1
4826,1
4843,4
4856,1
4860,1
4876,1
4906,1
4936,2
4940,1
5030,1
5033,1
5063,1
5093,2
5140,1
5203,1
5233,1
5250,3
5280,1
5296,1
5313,2
5360,1
5390,1
5483,2
5560,1
5623,3
5626,1
5640,2
5656,1
5670,1
5686,1
5700,1
5763,1
5796,1
5843,1
5860,1
5903,1
5966,2
6000,1
6016,1
6046,2
6060,1
6063,1
6140,2
6166,1
6170,1
6216,1
6263,2
6266,1
6280,1
6283,1
6290,1
6330,1
6360,2
6376,1
6390,1
6423,1
6426,1
6466,1
6480,1
6483,1
6533,1
6546,2
6580,1
6593,1
6606,2
6640,2
6670,3
6700,3
6703,1
6720,1
6740,1
6750,1
6756,1
6766,1
6783,1
6810,1
6826,1
6830,1
6860,1
6890,1
6923,1
6966,1
6983,2
7000,1
7016,1
7140,1
7223,1
7233,1
7266,1
7280,1
7310,1
7376,1
7406,1
7436,3
7453,1
7530,1
7546,1
7610,1
7670,1
7720,1
7796,1
7936,1
7970,1
8030,1
8036,1
8116,1
8123,3
8126,1
8156,1
8170,1
8180,1
8186,1
8200,1
8233,1
8250,1
8273,1
8360,1
8406,1
8546,1
8623,1
8640,1
8750,1
8810,2
8856,1
8860,1
8890,1
8953,2
9063,1
9140,1
9233,1
9343,1
9466,1
9576,1
9593,1
9656,1
9936,1
10123,1
10266,1
10670,1
10813,1
10873,1
10886,1
11043,1
11123,1
11326,2
11373,1
11423,1
11516,1
11543,1
11580,1
11640,1
11643,1
11703,1
11733,1
11750,1
11766,1
11796,2
11843,1
11903,1
11980,1
12000,1
12030,1
12123,1
12200,1
12263,1
12296,1
12310,1
12340,1
12433,1
12610,1
12640,2
12656,2
12686,1
12716,1
12796,1
13046,1
13060,1
13106,1
13123,1
13156,1
13233,1
13250,1
13263,1
13293,1
13313,1
13343,1
13373,1
13403,1
13420,1
13436,1
13466,1
13483,1
13530,1
13593,1
13623,2
13683,1
13686,1
13750,1
13763,1
13780,1
13890,1
13920,1
13933,1
14000,1
14030,1
14076,1
14110,1
14156,1
14170,1
14250,1
14310,1
14343,1
14360,1
14403,1
14576,1
14623,1
14640,1
14653,1
14733,1
14750,1
14890,1
14903,1
14983,1
15013,1
15060,1
15076,2
15093,1
15140,2
15183,1
15590,1
15686,1
15746,1
15763,1
15826,1
15920,1
15966,1
16000,1
16016,1
16046,1
16140,1
16170,2
16216,1
16263,1
16406,1
16716,1
16733,1
16750,1
16903,1
17030,1
17076,1
17090,1
17186,1
17200,1
17220,1
17296,1
17420,1
17953,1
18076,1
18170,1
18263,1
18420,1
18466,1
18560,1
18606,1
18640,1
18793,1
18983,1
19076,1
19230,1
19250,1
19310,1
19376,1
19436,1
19576,2
19733,1
19866,1
20030,1
20123,1
20263,1
20310,1
20373,1
20483,1
20530,1
20606,1
20763,1
20796,1
20856,1
20950,1
21093,1
21140,1
21186,2
21216,1
21466,2
21576,1
21700,1
21746,1
21920,1
22280,1
22386,1
22433,1
22466,1
22480,1
22513,1
22826,2
23403,1
23450,2
23466,1
23933,1
24073,1
24153,1
24450,1
24856,1
24966,1
25013,1
25106,1
25123,1
25263,1
25386,1
25870,1
25886,1
26120,1
26293,2
26310,1
26326,1
26513,1
26590,1
26776,1
26963,1
27000,1
27073,1
27153,1
27280,1
27466,1
27546,1
27826,1
27840,1
27886,1
28123,1
28280,1
28403,1
28793,1
29200,1
29276,1
29310,1
29373,1
29653,1
29826,1
29873,1
30746,1
31480,1
31746,1
31776,1
32230,1
32323,1
32806,1
33043,1
33606,1
34496,1
34623,1
34776,1
35260,1
35336,1
35370,1
35416,1
35683,1
36026,1
36073,1
36230,1
36826,1
37183,1
37590,1
37666,1
38420,1
39213,1
39416,1
39920,1
40183,1
40386,1
41153,1
41540,1
41776,1
42076,1
43133,1
43683,1
43810,1
43856,1
43976,1
44933,1
45276,1
46480,1
47293,1
48776,1
49090,1
50436,1
50946,1
51026,1
51246,1
51623,1
52136,1
54416,1
55120,1
55850,1
56043,1
57063,1
57456,1
57683,1
57790,1
57873,1
59336,1
59773,1
61806,1
63570,1
64076,1
64090,1
64476,1
65103,1
65993,1
66200,1
67120,1
67790,1
68760,1
68773,1
70023,1
73320,1
74403,1
75400,1
